General Register Office for Scotland 2001 Census of Population,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Migration by Qualifications,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,All people in households aged 25 to 74,All people in households aged 25 to 74,All people in households aged 25 to 74,All people in households aged 25 to 74,No quals/ Level 1/ Other,No quals/ Level 1/ Other,No quals/ Level 1/ Other,No quals/ Level 1/ Other,Level 2 or 3,Level 2 or 3,Level 2 or 3,Level 2 or 3,Level 4 or 5,Level 4 or 5,Level 4 or 5,Level 4 or 5,Outflow (moved out of area but within Scotland) All people in households aged 25 to 74,Outflow (moved out of area but within Scotland) No quals/ Level 1/ Other,Outflow (moved out of area but within Scotland) Level 2 or 3,Outflow (moved out of area but within Scotland) Level 4 or 5,Outflow - Moved out of Scotland to E & W  All people in households aged 25 to 74,Outflow - Moved out of Scotland to E & W No quals/Level 1/Other,Outflow - Moved out of Scotland to E & W Level 2 or 3,Outflow - Moved out of Scotland to E & W Level 4 or 5,Outflow - Moved out of Scotland to NI All people in households aged 25 to 74,Outflow - Moved out of Scotland to NI No quals/Level 1/Other,Outflow - MOved out of Scotland to NI Level 2 or 3,Outflow - Moved out of Scotland to NI Level 4 or 5
,Lived at same address one year ago,Moved within Datazone area,Inflow (lived elsewhere outwith area but within Scotland),Inflow (lived elsewhere outwith Scotland but within UK),Lived at same address one year ago,Moved within Datazone area,Inflow (lived elsewhere outwith area but within Scotland),Inflow (lived elsewhere outwith Scotland but within UK),Lived at same address one year ago,Moved within Datazone area,Inflow (lived elsewhere outwith area but within Scotland),Inflow (lived elsewhere outwith Scotland but within UK),Lived at same address one year ago,Moved within Datazone area,Inflow (lived elsewhere outwith area but within Scotland),Inflow (lived elsewhere outwith Scotland but within UK),,,,,,,,,,,,
S01000148,360,1,20,-,293,1,17,-,42,-,3,-,25,-,-,-,38,25,9,4,-,-,-,-,-,-,-,-
S01000149,486,-,67,8,272,-,30,3,95,-,17,3,119,-,20,2,71,28,22,21,14,3,3,8,-,-,-,-
S01000150,349,1,25,2,292,1,18,2,39,-,5,-,18,-,2,-,29,22,6,1,-,-,-,-,-,-,-,-
S01000151,534,1,25,1,449,1,22,-,52,-,2,-,33,-,1,1,21,17,2,2,3,-,-,3,-,-,-,-
S01000152,485,5,45,9,180,-,9,-,124,1,14,1,181,4,22,8,72,20,15,37,8,-,3,5,-,-,-,-
S01000153,293,1,35,6,187,-,11,2,54,-,7,2,52,1,17,2,40,8,14,18,6,-,-,6,-,-,-,-
S01000154,382,2,16,-,314,2,11,-,44,-,3,-,24,-,2,-,16,9,5,2,-,-,-,-,-,-,-,-
S01000155,479,1,13,1,393,1,10,1,49,-,3,-,37,-,-,-,21,19,2,-,-,-,-,-,-,-,-,-
S01000156,406,-,58,7,230,-,18,2,78,-,19,1,98,-,21,4,58,28,16,14,16,-,3,13,-,-,-,-
S01000157,416,2,44,4,343,2,28,2,46,-,11,1,27,-,5,1,36,25,8,3,3,-,-,3,-,-,-,-
S01000158,549,-,29,-,390,-,17,-,77,-,4,-,82,-,8,-,32,20,8,4,3,-,-,3,-,-,-,-
S01000159,508,2,71,3,175,-,16,-,125,1,23,2,208,1,32,1,59,18,15,26,8,3,5,-,-,-,-,-
S01000160,506,-,23,1,428,-,19,1,48,-,3,-,30,-,1,-,20,16,2,2,-,-,-,-,-,-,-,-
S01000161,412,3,36,9,186,1,7,2,76,1,12,-,150,1,17,7,63,19,13,31,12,3,-,9,-,-,-,-
S01000162,516,4,38,3,338,1,21,1,78,1,10,1,100,2,7,1,49,29,7,13,-,-,-,-,-,-,-,-
S01000163,628,-,25,1,508,-,21,-,76,-,2,-,44,-,2,1,33,24,7,2,-,-,-,-,-,-,-,-
S01000164,291,-,32,1,216,-,15,-,33,-,11,-,42,-,6,1,23,8,6,9,3,-,-,3,-,-,-,-
S01000165,506,1,37,1,346,-,20,-,87,-,7,-,73,1,10,1,38,23,5,10,4,-,-,4,-,-,-,-
S01000166,497,5,46,7,218,-,10,1,88,1,13,-,191,4,23,6,86,15,16,55,25,3,3,19,-,-,-,-
S01000167,434,3,17,1,304,3,14,-,85,-,2,-,45,-,1,1,16,10,2,4,-,-,-,-,-,-,-,-
S01000168,556,1,29,-,454,1,19,-,68,-,5,-,34,-,5,-,27,18,6,3,-,-,-,-,-,-,-,-
S01000169,497,2,27,-,369,2,18,-,65,-,6,-,63,-,3,-,24,15,6,3,3,3,-,-,-,-,-,-
S01000170,425,5,77,1,202,-,22,-,79,-,23,-,144,5,32,1,52,6,12,34,7,-,-,7,-,-,-,-
S01000171,462,2,111,-,131,-,32,-,151,-,29,-,180,2,50,-,40,11,6,23,4,-,-,4,-,-,-,-
S01000172,310,-,14,1,210,-,5,-,41,-,2,-,59,-,7,1,6,2,4,-,3,-,-,3,-,-,-,-
S01000173,433,1,28,1,331,1,18,-,49,-,5,-,53,-,5,1,33,24,3,6,-,-,-,-,-,-,-,-
S01000174,419,7,88,9,129,-,19,5,116,3,23,1,174,4,46,3,41,14,11,16,3,-,-,3,-,-,-,-
S01000175,253,-,34,1,123,-,13,-,67,-,9,-,63,-,12,1,46,16,14,16,6,-,-,6,-,-,-,-
S01000176,241,1,49,9,115,-,15,-,41,-,13,1,85,1,21,8,50,13,9,28,9,-,-,9,-,-,-,-
S01000177,324,-,24,2,168,-,6,-,59,-,7,-,97,-,11,2,41,10,13,18,-,-,-,-,-,-,-,-
S01000178,463,-,12,3,382,-,6,2,48,-,6,-,33,-,-,1,21,16,3,2,-,-,-,-,-,-,-,-
S01000179,386,3,20,-,305,3,15,-,48,-,5,-,33,-,-,-,32,20,6,6,3,3,-,-,-,-,-,-
S01000180,391,1,17,-,316,1,15,-,50,-,1,-,25,-,1,-,24,17,7,-,3,3,-,-,-,-,-,-
S01000181,356,3,16,-,295,2,13,-,41,1,3,-,20,-,-,-,29,21,5,3,-,-,-,-,-,-,-,-
S01000182,520,-,26,2,430,-,19,1,54,-,7,-,36,-,-,1,30,24,4,2,3,-,-,3,-,-,-,-
S01000183,398,12,50,4,222,6,16,-,73,2,16,-,103,4,18,4,91,30,18,43,22,5,-,17,-,-,-,-
S01000184,468,-,50,6,252,-,16,1,102,-,17,2,114,-,17,3,41,14,12,15,4,-,-,4,-,-,-,-
S01000185,457,6,49,4,347,5,29,1,65,-,10,1,45,1,10,2,25,14,6,5,8,5,-,3,-,-,-,-
S01000186,538,1,32,3,336,1,22,-,92,-,7,-,110,-,3,3,37,19,6,12,6,3,-,3,-,-,-,-
S01000187,408,1,20,-,349,1,14,-,40,-,3,-,19,-,3,-,16,12,1,3,-,-,-,-,-,-,-,-
S01000188,435,5,61,13,293,3,26,1,40,2,11,-,102,-,24,12,62,20,12,30,15,3,-,12,-,-,-,-
S01000189,331,-,22,-,294,-,17,-,26,-,3,-,11,-,2,-,26,21,3,2,-,-,-,-,-,-,-,-
S01000190,520,-,23,-,428,-,15,-,52,-,3,-,40,-,5,-,25,18,3,4,-,-,-,-,-,-,-,-
S01000191,473,2,83,5,258,1,44,-,83,-,16,2,132,1,23,3,40,9,5,26,3,-,-,3,-,-,-,-
S01000192,373,1,26,1,260,1,14,-,52,-,7,-,61,-,5,1,54,26,10,18,7,-,-,7,-,-,-,-
S01000193,431,1,26,-,374,-,22,-,41,1,4,-,16,-,-,-,19,12,5,2,-,-,-,-,-,-,-,-
S01000194,346,5,22,5,189,2,9,4,52,3,5,-,105,-,8,1,35,12,8,15,9,6,3,-,-,-,-,-
S01000195,434,-,20,1,340,-,10,1,58,-,8,-,36,-,2,-,46,40,5,1,3,-,-,3,-,-,-,-
S01000196,435,2,25,-,370,2,21,-,42,-,3,-,23,-,1,-,47,41,3,3,6,-,3,3,-,-,-,-
S01000197,363,-,15,-,303,-,6,-,43,-,5,-,17,-,4,-,11,7,1,3,-,-,-,-,-,-,-,-
S01000198,412,3,13,2,337,3,11,1,50,-,2,1,25,-,-,-,41,29,8,4,-,-,-,-,-,-,-,-
S01000199,333,2,24,3,235,2,15,1,51,-,4,1,47,-,5,1,47,25,11,11,3,-,3,-,-,-,-,-
S01000200,521,-,25,1,396,-,13,-,67,-,7,-,58,-,5,1,24,15,3,6,-,-,-,-,-,-,-,-
S01000201,399,3,16,1,319,3,10,-,49,-,4,-,31,-,2,1,21,12,5,4,3,-,3,-,-,-,-,-
S01000202,481,-,43,4,258,-,24,1,103,-,7,-,120,-,12,3,43,14,11,18,6,3,-,3,-,-,-,-
S01000203,294,4,14,-,204,2,6,-,40,1,6,-,50,1,2,-,46,23,7,16,-,-,-,-,-,-,-,-
S01000204,401,1,8,1,340,-,7,1,39,-,1,-,22,1,-,-,31,23,7,1,-,-,-,-,-,-,-,-
S01000205,330,6,38,4,196,3,17,1,33,-,5,2,101,3,16,1,50,17,8,25,13,3,-,10,-,-,-,-
S01000206,404,3,32,1,291,2,23,1,73,-,7,-,40,1,2,-,38,30,6,2,3,-,3,-,-,-,-,-
S01000207,476,3,36,1,376,3,24,1,53,-,9,-,47,-,3,-,37,24,7,6,-,-,-,-,-,-,-,-
S01000208,384,5,35,3,326,3,28,3,45,2,2,-,13,-,5,-,33,30,3,-,-,-,-,-,-,-,-,-
S01000209,450,10,37,1,374,7,32,1,46,3,2,-,30,-,3,-,45,26,11,8,-,-,-,-,-,-,-,-
S01000210,349,-,34,4,240,-,19,-,62,-,7,-,47,-,8,4,46,26,12,8,8,3,-,5,-,-,-,-
S01000211,365,4,30,8,277,4,21,2,53,-,4,1,35,-,5,5,52,27,12,13,6,-,-,6,-,-,-,-
S01000212,480,2,23,1,397,1,21,-,46,1,2,-,37,-,-,1,28,19,4,5,8,-,3,5,-,-,-,-
S01000213,389,3,34,5,293,2,25,4,58,-,6,-,38,1,3,1,44,28,11,5,6,-,3,3,-,-,-,-
S01000214,322,-,17,-,255,-,16,-,48,-,1,-,19,-,-,-,9,1,3,5,3,-,-,3,-,-,-,-
S01000215,334,9,58,11,144,4,16,2,70,-,17,1,120,5,25,8,59,14,19,26,3,-,-,3,-,-,-,-
S01000216,425,-,15,4,273,-,6,2,78,-,6,2,74,-,3,-,24,12,2,10,5,-,-,5,-,-,-,-
S01000217,390,2,28,3,323,2,22,1,47,-,4,2,20,-,2,-,52,26,20,6,-,-,-,-,-,-,-,-
S01000218,467,-,23,1,373,-,15,-,52,-,3,1,42,-,5,-,19,12,3,4,-,-,-,-,-,-,-,-
S01000219,364,2,23,2,271,2,14,-,53,-,4,-,40,-,5,2,42,29,8,5,3,3,-,-,-,-,-,-
S01000220,353,-,26,1,229,-,12,-,55,-,6,-,69,-,8,1,83,29,26,28,7,-,-,7,-,-,-,-
S01000221,464,2,33,3,287,1,15,-,100,1,12,-,77,-,6,3,40,20,10,10,-,-,-,-,-,-,-,-
S01000222,482,1,19,-,385,1,16,-,62,-,2,-,35,-,1,-,24,16,6,2,-,-,-,-,-,-,-,-
S01000223,343,2,24,-,212,-,16,-,76,1,4,-,55,1,4,-,39,21,9,9,3,-,-,3,-,-,-,-
S01000224,456,-,12,2,357,-,8,-,64,-,3,2,35,-,1,-,20,14,3,3,6,-,3,3,-,-,-,-
S01000225,368,-,20,1,248,-,12,-,64,-,6,-,56,-,2,1,26,10,4,12,-,-,-,-,-,-,-,-
S01000226,404,5,21,2,221,2,8,-,91,3,6,1,92,-,7,1,30,11,9,10,6,-,3,3,-,-,-,-
S01000227,400,3,34,2,186,-,16,1,112,1,8,1,102,2,10,-,35,8,14,13,4,-,-,4,-,-,-,-
S01000228,401,4,40,2,225,4,27,-,107,-,8,1,69,-,5,1,45,21,16,8,4,-,4,-,-,-,-,-
S01000229,485,1,29,1,361,1,20,-,80,-,8,-,44,-,1,1,30,15,8,7,-,-,-,-,-,-,-,-
S01000230,400,-,30,1,262,-,9,-,82,-,9,-,56,-,12,1,31,10,10,11,6,3,3,-,-,-,-,-
S01000231,468,2,31,5,247,-,12,1,110,2,8,1,111,-,11,3,33,9,13,11,6,-,3,3,-,-,-,-
S01000232,379,1,15,1,308,1,13,-,44,-,1,1,27,-,1,-,23,18,4,1,-,-,-,-,-,-,-,-
S01000233,315,-,23,-,238,-,18,-,49,-,3,-,28,-,2,-,23,13,9,1,3,-,-,3,-,-,-,-
S01000234,507,-,27,2,318,-,15,-,103,-,7,-,86,-,5,2,29,17,5,7,-,-,-,-,-,-,-,-
S01000235,492,5,34,-,265,4,18,-,128,1,10,-,99,-,6,-,55,24,13,18,3,-,-,3,-,-,-,-
S01000236,451,1,13,-,297,-,8,-,71,1,1,-,83,-,4,-,25,18,3,4,-,-,-,-,-,-,-,-
S01000237,621,-,29,3,372,-,12,-,123,-,11,-,126,-,6,3,29,16,6,7,6,3,-,3,-,-,-,-
S01000238,313,-,27,5,176,-,12,2,83,-,12,1,54,-,3,2,44,25,7,12,-,-,-,-,-,-,-,-
S01000239,471,1,25,-,291,-,14,-,96,-,7,-,84,1,4,-,23,8,5,10,-,-,-,-,-,-,-,-
S01000240,454,3,19,3,291,2,9,1,99,1,3,-,64,-,7,2,23,10,5,8,-,-,-,-,-,-,-,-
S01000241,419,-,23,-,183,-,10,-,118,-,9,-,118,-,4,-,16,3,6,7,-,-,-,-,-,-,-,-
S01000242,367,2,34,6,211,-,17,1,59,-,3,-,97,2,14,5,23,11,6,6,10,-,-,10,-,-,-,-
S01000243,484,3,18,-,272,-,14,-,117,1,3,-,95,2,1,-,28,14,9,5,3,-,3,-,-,-,-,-
S01000244,647,4,49,-,443,3,24,-,105,-,14,-,99,1,11,-,50,34,9,7,7,3,-,4,-,-,-,-
S01000245,553,1,34,2,399,1,19,-,83,-,6,-,71,-,9,2,36,22,4,10,-,-,-,-,-,-,-,-
S01000246,448,-,23,-,306,-,15,-,87,-,3,-,55,-,5,-,19,6,9,4,-,-,-,-,-,-,-,-
S01000247,488,1,17,-,259,-,10,-,119,1,5,-,110,-,2,-,21,13,5,3,-,-,-,-,-,-,-,-
S01000248,544,-,43,4,321,-,24,1,124,-,9,-,99,-,10,3,35,11,12,12,3,-,-,3,-,-,-,-
S01000249,476,2,29,4,282,-,9,-,80,2,6,-,114,-,14,4,28,9,8,11,3,-,-,3,-,-,-,-
S01000250,461,2,34,1,243,1,14,-,103,-,15,-,115,1,5,1,46,13,19,14,3,-,-,3,-,-,-,-
S01000251,284,-,11,2,141,-,8,-,66,-,3,1,77,-,-,1,24,11,3,10,-,-,-,-,-,-,-,-
S01000252,502,-,34,2,262,-,12,-,142,-,12,2,98,-,10,-,49,20,18,11,3,-,3,-,-,-,-,-
S01000253,418,-,19,-,213,-,6,-,116,-,10,-,89,-,3,-,9,3,2,4,-,-,-,-,-,-,-,-
S01000254,504,1,40,2,241,-,18,-,109,-,8,1,154,1,14,1,24,11,7,6,4,4,-,-,-,-,-,-
S01000255,378,2,15,1,205,-,4,-,104,-,11,-,69,2,-,1,27,14,4,9,6,-,3,3,-,-,-,-
S01000256,551,1,36,4,340,1,21,2,106,-,8,-,105,-,7,2,36,14,8,14,6,3,-,3,-,-,-,-
S01000257,534,3,26,-,321,1,14,-,101,2,7,-,112,-,5,-,32,11,10,11,-,-,-,-,-,-,-,-
S01000258,389,2,22,4,154,2,9,-,107,-,6,-,128,-,7,4,43,9,19,15,7,-,3,4,-,-,-,-
S01000259,391,1,18,1,194,-,9,-,109,1,5,1,88,-,4,-,31,8,14,9,-,-,-,-,-,-,-,-
S01000260,469,1,60,5,242,-,25,1,130,1,16,3,97,-,19,1,63,21,22,20,14,3,4,7,-,-,-,-
S01000261,653,2,55,9,350,1,24,4,137,1,19,1,166,-,12,4,29,10,8,11,6,6,-,-,-,-,-,-
S01000262,610,3,26,6,351,3,12,2,114,-,6,2,145,-,8,2,56,27,17,12,9,3,3,3,-,-,-,-
S01000263,478,2,55,6,252,2,24,-,106,-,14,1,120,-,17,5,25,11,10,4,7,4,-,3,-,-,-,-
S01000264,628,-,24,-,445,-,10,-,118,-,10,-,65,-,4,-,34,13,16,5,-,-,-,-,-,-,-,-
S01000265,499,-,19,1,375,-,12,-,77,-,5,-,47,-,2,1,23,16,5,2,-,-,-,-,-,-,-,-
S01000266,573,7,37,3,357,4,16,2,98,1,9,-,118,2,12,1,28,15,9,4,3,3,-,-,-,-,-,-
S01000267,454,-,16,2,339,-,10,1,73,-,5,-,42,-,1,1,33,22,8,3,3,-,-,3,-,-,-,-
S01000268,421,13,26,7,260,11,15,1,83,2,7,2,78,-,4,4,22,14,3,5,4,-,-,4,-,-,-,-
S01000269,364,8,36,-,160,4,18,-,87,3,8,-,117,1,10,-,21,7,5,9,6,-,3,3,-,-,-,-
S01000270,582,4,39,5,327,1,20,1,134,2,10,2,121,1,9,2,29,10,10,9,-,-,-,-,-,-,-,-
S01000271,507,3,36,4,280,2,18,1,100,1,7,1,127,-,11,2,31,14,5,12,11,3,5,3,-,-,-,-
S01000272,505,13,37,7,266,10,18,1,104,3,6,2,135,-,13,4,37,14,13,10,3,-,-,3,-,-,-,-
S01000273,233,-,89,7,135,-,43,5,48,-,29,2,50,-,17,-,12,9,2,1,4,-,-,4,-,-,-,-
S01000274,342,6,16,2,252,4,11,2,39,1,3,-,51,1,2,-,20,13,6,1,-,-,-,-,-,-,-,-
S01000275,571,7,25,1,399,4,16,1,85,1,4,-,87,2,5,-,14,10,1,3,3,3,-,-,-,-,-,-
S01000276,416,1,35,2,168,1,17,-,108,-,8,1,140,-,10,1,34,17,9,8,7,-,3,4,-,-,-,-
S01000277,373,2,29,3,189,2,16,1,91,-,6,1,93,-,7,1,30,19,6,5,-,-,-,-,-,-,-,-
S01000278,305,4,17,-,252,3,14,-,36,1,1,-,17,-,2,-,15,10,3,2,-,-,-,-,-,-,-,-
S01000279,324,-,26,4,169,-,10,3,74,-,8,1,81,-,8,-,17,9,1,7,3,-,-,3,-,-,-,-
S01000280,342,-,37,4,207,-,22,3,57,-,4,-,78,-,11,1,31,16,6,9,-,-,-,-,-,-,-,-
S01000281,369,10,37,5,232,4,18,3,67,4,9,1,70,2,10,1,27,13,4,10,-,-,-,-,-,-,-,-
S01000282,381,2,28,6,236,1,17,2,81,1,5,-,64,-,6,4,35,19,5,11,6,3,-,3,-,-,-,-
S01000283,468,15,66,6,223,9,25,4,98,4,17,-,147,2,24,2,39,14,12,13,9,-,3,6,-,-,-,-
S01000284,470,12,22,7,213,6,10,3,101,4,8,1,156,2,4,3,27,9,7,11,3,-,-,3,-,-,-,-
S01000285,413,7,20,6,206,6,8,2,90,1,8,1,117,-,4,3,22,9,6,7,3,-,-,3,-,-,-,-
S01000286,516,10,57,5,290,1,25,-,96,5,13,1,130,4,19,4,71,33,19,19,7,3,4,-,-,-,-,-
S01000287,371,-,57,6,147,-,16,1,90,-,15,1,134,-,26,4,26,12,4,10,-,-,-,-,-,-,-,-
S01000288,535,4,31,-,329,3,15,-,92,-,7,-,114,1,9,-,38,13,6,19,-,-,-,-,-,-,-,-
S01000289,522,2,31,5,297,2,15,2,117,-,5,-,108,-,11,3,53,29,13,11,3,-,3,-,-,-,-,-
S01000290,417,3,39,1,317,3,28,1,60,-,7,-,40,-,4,-,63,32,19,12,-,-,-,-,-,-,-,-
S01000291,445,5,45,3,215,3,14,-,107,1,17,-,123,1,14,3,20,10,6,4,3,-,-,3,-,-,-,-
S01000292,520,1,45,2,201,-,13,-,131,-,16,2,188,1,16,-,36,18,10,8,3,3,-,-,-,-,-,-
S01000293,394,5,49,10,206,4,23,4,81,1,10,2,107,-,16,4,52,18,12,22,5,-,-,5,-,-,-,-
S01000294,383,-,42,-,176,-,8,-,90,-,19,-,117,-,15,-,40,12,14,14,3,-,-,3,-,-,-,-
S01000295,374,-,15,4,162,-,4,3,103,-,7,-,109,-,4,1,24,6,13,5,3,-,-,3,-,-,-,-
S01000296,317,2,12,4,101,-,3,1,58,1,5,1,158,1,4,2,15,1,4,10,-,-,-,-,-,-,-,-
S01000297,451,5,48,4,253,2,21,-,111,3,15,1,87,-,12,3,32,7,13,12,3,3,-,-,-,-,-,-
S01000298,200,4,118,5,92,2,47,1,47,1,33,2,61,1,38,2,11,8,3,-,-,-,-,-,-,-,-,-
S01000299,505,1,32,1,203,1,14,-,87,-,7,-,215,-,11,1,41,14,5,22,12,3,-,9,-,-,-,-
S01000300,461,1,37,6,217,-,14,2,112,1,10,2,132,-,13,2,38,10,12,16,7,-,7,-,-,-,-,-
S01000301,339,5,15,13,195,2,8,6,72,-,1,1,72,3,6,6,19,12,4,3,-,-,-,-,-,-,-,-
S01000302,317,1,28,1,143,-,10,1,69,-,7,-,105,1,11,-,25,12,5,8,-,-,-,-,-,-,-,-
S01000303,382,2,25,11,179,1,10,3,78,1,8,2,125,-,7,6,24,15,5,4,-,-,-,-,-,-,-,-
S01000304,545,-,22,-,224,-,7,-,138,-,11,-,183,-,4,-,22,7,5,10,-,-,-,-,-,-,-,-
S01000305,619,7,45,2,342,6,23,-,118,1,7,1,159,-,15,1,36,17,5,14,6,-,3,3,-,-,-,-
S01000306,448,4,33,13,173,-,9,2,97,2,3,3,178,2,21,8,25,7,5,13,3,-,-,3,-,-,-,-
S01000307,549,4,46,3,249,3,18,-,157,1,15,1,143,-,13,2,45,10,14,21,7,-,3,4,-,-,-,-
S01000308,625,3,48,4,290,-,18,1,147,1,16,1,188,2,14,2,38,24,4,10,3,-,-,3,-,-,-,-
S01000309,432,10,30,16,193,4,5,1,66,4,7,7,173,2,18,8,41,8,10,23,8,3,-,5,-,-,-,-
S01000310,534,10,38,3,267,4,18,-,150,6,9,1,117,-,11,2,43,20,9,14,-,-,-,-,-,-,-,-
S01000311,537,5,38,5,200,2,13,2,110,1,5,2,227,2,20,1,50,26,11,13,6,-,3,3,-,-,-,-
S01000312,336,1,14,9,167,1,5,3,69,-,2,-,100,-,7,6,25,12,11,2,-,-,-,-,-,-,-,-
S01000313,424,-,13,2,218,-,5,-,107,-,6,1,99,-,2,1,19,12,4,3,-,-,-,-,-,-,-,-
S01000314,365,2,21,-,221,2,12,-,87,-,6,-,57,-,3,-,14,6,4,4,7,3,4,-,-,-,-,-
S01000315,352,1,10,4,121,1,5,1,69,-,1,-,162,-,4,3,17,5,1,11,3,-,3,-,-,-,-,-
S01000316,440,15,28,9,277,14,20,5,66,-,2,3,97,1,6,1,8,3,2,3,3,3,-,-,-,-,-,-
S01000317,313,-,31,2,216,-,16,-,56,-,9,-,41,-,6,2,12,6,4,2,5,-,-,5,-,-,-,-
S01000318,336,1,25,-,103,-,8,-,67,-,4,-,166,1,13,-,13,3,2,8,6,-,3,3,-,-,-,-
S01000319,372,1,27,2,195,1,14,2,96,-,5,-,81,-,8,-,46,20,14,12,3,-,-,3,-,-,-,-
S01000320,456,3,29,-,233,1,21,-,132,-,6,-,91,2,2,-,38,23,8,7,3,3,-,-,-,-,-,-
S01000321,361,3,19,-,174,-,4,-,77,1,4,-,110,2,11,-,27,13,7,7,6,3,-,3,-,-,-,-
S01000322,559,-,60,16,189,-,22,6,128,-,14,3,242,-,24,7,35,6,12,17,12,5,3,4,-,-,-,-
S01000323,484,7,46,6,305,3,11,1,75,3,14,2,104,1,21,3,23,10,5,8,3,3,-,-,-,-,-,-
S01000324,528,2,31,2,274,2,15,-,154,-,10,-,100,-,6,2,56,29,15,12,-,-,-,-,-,-,-,-
S01000325,342,1,40,-,232,-,23,-,47,1,10,-,63,-,7,-,13,6,2,5,-,-,-,-,-,-,-,-
S01000326,436,3,28,2,278,2,16,-,102,1,6,2,56,-,6,-,27,14,6,7,-,-,-,-,-,-,-,-
S01000327,533,-,38,2,286,-,17,-,138,-,10,1,109,-,11,1,30,14,9,7,4,4,-,-,-,-,-,-
S01000328,328,3,14,-,206,-,8,-,81,2,3,-,41,1,3,-,13,7,1,5,-,-,-,-,4,-,-,4
S01000329,320,3,30,2,216,3,17,-,66,-,8,-,38,-,5,2,21,13,8,-,-,-,-,-,-,-,-,-
S01000330,408,2,40,6,151,1,14,1,76,-,10,1,181,1,16,4,23,5,8,10,3,-,3,-,-,-,-,-
S01000331,383,2,16,3,222,2,8,-,56,-,2,1,105,-,6,2,10,6,2,2,7,3,-,4,-,-,-,-
S01000332,392,-,34,10,139,-,13,1,83,-,8,4,170,-,13,5,33,10,9,14,-,-,-,-,-,-,-,-
S01000333,473,1,40,7,162,-,8,2,104,-,10,-,207,1,22,5,34,6,9,19,3,-,3,-,-,-,-,-
S01000334,459,4,43,4,268,1,20,1,72,3,10,1,119,-,13,2,19,6,7,6,-,-,-,-,-,-,-,-
S01000335,392,-,32,1,227,-,17,-,74,-,8,-,91,-,7,1,26,5,13,8,-,-,-,-,-,-,-,-
S01000336,466,7,55,10,233,1,26,4,93,1,6,2,140,5,23,4,51,27,9,15,6,-,3,3,-,-,-,-
S01000337,384,-,36,7,150,-,16,1,84,-,5,1,150,-,15,5,32,10,3,19,3,-,3,-,-,-,-,-
S01000338,273,6,31,4,146,-,13,2,45,1,2,-,82,5,16,2,38,12,5,21,9,3,3,3,-,-,-,-
S01000339,610,10,48,6,274,6,20,2,109,1,10,1,227,3,18,3,31,12,13,6,10,4,3,3,-,-,-,-
S01000340,583,7,37,4,297,6,15,1,125,1,9,1,161,-,13,2,45,25,8,12,-,-,-,-,-,-,-,-
S01000341,425,3,33,5,209,-,16,-,95,-,7,1,121,3,10,4,35,13,11,11,8,-,5,3,-,-,-,-
S01000342,294,7,26,4,191,5,15,1,34,1,8,-,69,1,3,3,10,5,3,2,-,-,-,-,-,-,-,-
S01000343,357,8,21,1,151,2,11,-,85,2,3,-,121,4,7,1,25,11,5,9,3,-,-,3,-,-,-,-
S01000344,536,5,30,1,286,2,12,-,97,2,6,-,153,1,12,1,31,14,6,11,3,3,-,-,-,-,-,-
S01000345,371,-,32,-,221,-,13,-,80,-,6,-,70,-,13,-,33,14,10,9,6,3,3,-,3,-,3,-
S01000346,428,-,19,1,197,-,10,-,104,-,6,-,127,-,3,1,23,9,9,5,6,3,3,-,-,-,-,-
S01000347,295,-,19,4,181,-,8,2,45,-,4,1,69,-,7,1,22,7,6,9,6,-,3,3,-,-,-,-
S01000348,471,4,40,3,199,4,18,2,115,-,10,-,157,-,12,1,38,8,13,17,-,-,-,-,-,-,-,-
S01000349,336,1,18,1,172,-,10,-,88,1,1,-,76,-,7,1,31,10,11,10,-,-,-,-,-,-,-,-
S01000350,477,4,121,8,226,-,39,2,119,3,38,3,132,1,44,3,21,5,5,11,3,-,-,3,-,-,-,-
S01000351,563,6,37,7,221,4,16,4,141,-,18,-,201,2,3,3,39,14,11,14,3,-,-,3,-,-,-,-
S01000352,472,4,30,-,191,4,14,-,120,-,9,-,161,-,7,-,27,4,13,10,-,-,-,-,-,-,-,-
S01000353,364,-,52,4,145,-,23,1,95,-,11,2,124,-,18,1,25,9,9,7,6,-,3,3,-,-,-,-
S01000354,293,1,27,4,142,1,5,-,63,-,6,3,88,-,16,1,15,7,2,6,-,-,-,-,-,-,-,-
S01000355,398,6,24,7,157,3,11,5,99,1,6,-,142,2,7,2,18,4,3,11,-,-,-,-,-,-,-,-
S01000356,385,1,19,2,175,1,5,-,65,-,4,1,145,-,10,1,18,7,7,4,3,-,-,3,-,-,-,-
S01000357,374,-,25,4,140,-,7,3,109,-,10,1,125,-,8,-,30,10,10,10,3,-,-,3,-,-,-,-
S01000358,583,1,48,4,227,-,15,-,151,1,12,-,205,-,21,4,54,18,15,21,8,-,-,8,-,-,-,-
S01000359,445,4,33,4,113,2,10,1,112,1,8,1,220,1,15,2,26,11,3,12,3,-,-,3,-,-,-,-
S01000360,310,10,14,3,174,3,4,1,54,3,1,1,82,4,9,1,11,4,6,1,3,-,3,-,-,-,-,-
