datazone,Inflow|All people in households|Lived at same address,Inflow|All people in households|Moved within Datazone area,Inflow|All people in households|Inflow (lived elsewhere in Scotland),Inflow|All people in households|Inflow (lived elsewhere outside Scotland but within UK),Inflow|All people in communal establishments|Lived at same address,Inflow|All people in communal establishments|Moved within Datazone area,Inflow|All people in communal establishments|Inflow (lived elsewhere in Scotland),Inflow|All people in communal establishments|Inflow (lived elsewhere outside Scotland but within UK),Outflow to outwith the datazone but to elsewhere in Scotland|Outflow All people in households|,Outflow to outwith the datazone but to elsewhere in Scotland|Outflow All people in communal establishments|,Outflow - Moved to England & Wales All people in households|Outflow - Moved to England & Wales All people in households|,Outflow - Moved to England & Wales All people in communal establishments|Outflow - Moved to England & Wales All people in communal establishments|,Outflow - Moved to NI All people in households|Outflow - Moved to NI All people in households|,Outflow - Moved to NI All people in communal establishments|Outflow - Moved to NI All people in communal establishments|
S01000370,725,2,55,11,-,-,-,-,67,3,12,-,-,-
S01000371,840,10,53,12,10,-,-,-,67,7,12,-,-,-
S01000372,870,13,53,9,22,1,12,1,49,4,6,-,-,-
S01000373,502,6,67,-,-,-,-,-,38,1,3,3,-,-
S01000374,650,1,79,3,-,-,-,-,31,2,10,-,6,-
S01000375,621,1,22,2,-,-,-,-,32,1,9,-,-,-
S01000376,834,2,61,2,-,-,-,-,48,3,3,-,-,-
S01000377,673,1,33,6,-,-,-,-,55,2,6,-,-,-
S01000378,536,4,40,1,-,-,-,-,39,1,-,-,-,-
S01000379,486,4,70,4,-,-,-,-,34,1,7,-,-,-
S01000380,703,3,33,5,-,-,-,-,47,-,9,-,-,-
S01000381,869,11,38,5,14,2,2,-,46,5,6,-,3,-
S01000382,673,7,68,3,-,-,-,-,54,3,14,3,-,-
S01000383,670,1,35,2,-,-,-,-,42,2,3,3,-,-
S01000384,652,25,50,2,-,-,-,-,56,3,-,-,-,-
S01000385,508,2,59,1,-,-,-,-,42,-,6,3,-,-
S01000386,700,6,52,5,-,-,-,-,37,4,6,-,-,-
S01000387,801,2,38,5,-,-,-,-,49,5,6,-,-,-
S01000388,620,1,111,15,14,-,6,-,69,4,22,3,-,-
S01000389,546,1,111,5,-,-,-,-,35,1,6,-,-,-
S01000390,647,4,35,2,29,-,10,-,43,4,-,-,-,-
S01000391,526,-,68,2,30,-,9,-,74,1,-,-,-,-
S01000392,598,9,111,5,-,-,-,-,30,1,13,-,-,-
S01000393,767,4,42,3,26,-,6,1,40,12,6,-,-,-
S01000394,602,4,74,4,-,-,-,-,91,-,-,-,-,-
S01000395,660,4,33,12,-,-,-,-,77,3,9,-,-,-
S01000396,874,2,61,3,-,-,-,-,34,11,3,-,-,-
S01000397,951,10,49,1,11,-,-,-,43,1,3,3,-,-
S01000398,651,2,59,18,2,-,-,1,85,1,7,4,-,-
S01000399,504,11,51,5,-,-,-,-,53,7,3,3,-,-
S01000400,635,6,60,3,-,-,-,-,41,7,-,-,-,-
S01000401,744,4,58,15,-,-,-,-,55,4,14,-,-,-
S01000402,562,3,129,9,-,-,-,-,34,5,3,-,-,-
S01000403,744,2,41,6,1,-,-,-,45,7,7,-,-,-
S01000404,694,4,45,5,-,-,-,-,55,2,14,3,-,-
S01000405,532,11,26,6,-,-,3,-,38,-,-,-,-,-
S01000406,568,-,56,5,-,-,-,-,65,-,3,-,-,-
S01000407,600,3,52,2,-,-,-,-,61,1,-,-,-,-
S01000408,449,-,54,3,-,-,-,-,41,2,4,-,-,-
S01000409,635,-,31,-,-,-,-,-,55,2,-,-,-,-
S01000410,596,3,54,8,-,-,-,-,33,3,-,-,-,-
S01000411,556,5,57,5,-,-,-,-,69,2,10,-,-,-
S01000412,735,7,39,2,-,-,-,-,47,2,6,3,-,-
S01000413,718,6,53,5,-,-,-,-,52,2,10,-,-,-
S01000414,668,15,24,1,-,-,-,-,61,10,8,3,-,-
S01000415,554,3,41,16,-,-,-,-,27,2,-,3,-,-
S01000416,584,8,77,-,-,-,-,-,46,4,-,3,-,-
S01000417,924,9,66,5,-,-,-,-,41,3,-,-,-,-
S01000418,650,2,54,15,-,-,-,-,60,1,6,3,-,-
S01000419,604,5,56,3,-,-,-,-,45,4,3,-,3,-
S01000420,873,22,57,11,20,-,9,1,78,5,19,-,-,-
S01000421,528,9,49,13,-,-,-,-,40,1,16,-,-,-
S01000422,612,15,48,6,28,1,11,2,43,3,3,-,-,-
S01000423,852,3,41,5,-,-,-,-,32,6,3,-,-,-
S01000424,625,15,78,6,-,-,-,-,40,2,-,3,-,-
S01000425,717,1,56,3,-,-,-,-,48,7,6,-,-,-
S01000426,718,17,52,8,-,-,-,-,57,2,9,-,-,-
S01000427,698,10,74,2,-,-,-,-,59,3,3,-,-,-
S01000428,714,7,47,9,-,-,-,-,66,2,6,-,-,-
S01000429,741,4,33,3,-,-,-,-,44,-,-,-,-,-
S01000430,506,8,35,1,8,-,4,1,35,2,3,-,-,-
S01000431,593,5,52,6,35,-,-,-,50,8,-,3,-,-
S01000432,887,8,61,10,-,-,-,-,74,6,14,-,-,-
S01000433,481,4,36,1,-,-,-,-,21,3,-,3,-,-
S01000434,626,3,48,3,-,-,-,-,62,2,3,-,-,-
S01000435,520,2,31,2,-,-,-,-,37,-,3,-,-,-
S01000436,658,-,29,5,-,-,-,-,38,3,3,-,-,-
S01000437,910,5,52,1,34,1,17,-,66,1,8,-,-,-
S01000438,646,5,34,5,4,-,-,-,60,5,12,-,-,-
S01000439,604,12,68,11,-,-,-,-,78,-,22,-,-,-
S01000440,823,-,32,13,-,-,-,-,50,3,6,-,-,-
S01000441,779,21,62,5,-,-,-,-,50,5,6,-,-,-
S01000442,798,8,55,6,-,-,-,-,56,2,11,-,-,-
S01000443,532,1,40,3,-,-,-,-,48,3,3,-,-,-
S01000444,525,4,43,1,-,-,-,-,47,2,-,-,-,-
S01000445,894,1,71,4,-,-,-,-,54,9,6,-,-,-
S01000446,826,6,58,33,17,-,-,-,53,8,6,-,-,-
S01000447,518,-,21,-,-,-,-,-,17,-,-,-,-,-
S01000448,570,1,35,11,-,-,-,-,62,6,10,-,-,-
S01000449,673,5,70,4,21,1,8,-,39,2,-,-,-,-
S01000450,593,6,44,1,-,-,-,-,57,1,4,-,-,-
S01000451,696,19,56,16,-,-,-,-,59,4,10,-,-,-
S01000452,493,3,56,2,1,-,3,-,52,1,3,-,-,-
S01000453,510,2,14,2,11,-,8,-,41,-,3,4,-,-
S01000454,434,10,43,5,-,-,-,-,38,5,-,-,-,-
S01000455,773,24,69,2,-,-,-,-,69,4,11,-,4,-
S01000456,646,4,55,12,-,-,-,-,62,4,-,-,-,-
S01000457,760,5,48,4,46,-,3,-,53,6,-,-,-,-
S01000458,765,8,67,8,-,-,-,-,68,5,3,-,-,-
S01000459,960,3,61,7,3,-,1,-,79,3,3,-,-,-
S01000460,696,15,52,6,-,-,-,-,31,2,-,-,-,-
S01000461,775,11,69,1,7,-,-,-,66,1,3,-,-,-
S01000462,916,12,60,5,34,1,7,-,60,3,3,-,-,-
S01000463,535,19,46,61,82,-,12,46,97,2,85,20,-,3
S01000464,672,22,35,10,-,-,-,-,77,5,7,-,-,-
S01000465,583,3,39,2,-,-,-,-,62,4,3,-,-,-
S01000466,743,6,40,4,-,-,-,-,61,1,12,-,-,-
S01000467,556,16,51,2,1,-,-,-,37,4,10,-,-,-
S01000468,493,4,16,4,-,-,-,-,33,4,-,-,-,3
S01000469,640,6,35,8,-,-,-,-,57,2,8,3,-,-
S01000470,872,2,44,38,243,2,42,1,75,22,23,-,-,-
S01000471,547,3,45,7,-,-,-,-,27,2,-,-,-,-
S01000472,801,1,33,1,-,-,-,-,38,2,-,-,-,-
S01000473,705,6,29,5,-,-,-,-,63,4,11,3,-,-
S01000474,590,3,47,8,-,-,-,-,36,2,12,-,-,-
S01000475,771,6,104,3,-,-,-,-,43,3,3,-,-,-
S01000476,499,4,45,8,15,-,10,-,28,7,9,-,-,-
S01000477,746,-,31,-,-,-,-,-,38,3,6,-,-,-
S01000478,821,6,35,5,-,-,-,-,51,4,3,-,-,-
S01000479,870,9,47,3,31,-,5,-,27,6,13,-,-,-
S01000480,643,2,20,-,-,-,-,-,25,8,5,-,-,-
S01000481,730,2,35,1,14,-,-,-,34,4,10,-,-,-
S01000482,687,3,74,6,41,2,23,-,66,3,11,-,-,-
S01000483,881,14,60,7,4,-,1,-,78,5,5,3,-,-
S01000484,711,6,82,6,-,-,-,-,83,4,6,-,-,-
S01000485,1038,4,38,-,-,-,-,-,55,6,-,-,-,-
S01000486,708,18,113,4,1,1,-,-,162,3,9,-,-,-
S01000487,493,-,37,2,37,1,19,-,29,4,3,-,-,-
S01000488,671,3,21,6,-,-,-,-,53,2,6,-,-,-
S01000489,781,17,68,3,27,-,8,-,83,5,14,-,-,-
S01000490,488,2,44,2,-,-,-,-,38,-,-,-,-,-
S01000491,534,4,51,-,4,-,-,-,49,5,3,-,-,-
S01000492,858,2,88,5,-,-,-,-,82,3,3,-,-,-
S01000493,516,32,38,2,-,-,-,-,36,6,-,-,-,-
S01000494,508,9,47,2,-,-,-,-,38,2,6,-,-,-
S01000495,877,2,25,-,23,-,7,-,59,10,9,-,-,-
S01000496,499,3,81,3,-,-,-,-,23,1,3,-,-,-
S01000497,588,10,26,5,-,-,-,-,21,7,3,-,-,-
S01000498,504,4,39,1,-,-,-,-,34,5,-,-,-,-
S01000499,708,24,60,4,-,-,-,-,62,2,3,3,-,-
S01000500,647,5,22,1,-,-,-,-,43,1,-,3,-,-
S01000501,581,7,32,1,-,-,-,-,36,4,-,-,-,-
S01000502,477,6,27,4,14,-,7,1,31,7,3,-,-,-
S01000503,452,-,40,5,20,-,15,1,34,2,-,-,3,-
S01000504,652,15,87,5,-,-,-,-,69,4,6,-,-,-
S01000505,707,5,38,6,-,-,-,-,47,4,12,-,-,-
S01000506,558,5,50,6,24,-,9,1,45,5,6,-,-,-
S01000507,1036,3,44,4,-,-,-,-,57,2,3,-,-,-
S01000508,799,4,60,13,-,-,-,-,59,3,6,-,-,-
S01000509,964,3,43,11,32,1,2,1,35,2,3,-,-,-
S01000510,614,-,42,2,-,-,-,-,46,2,-,-,-,-
S01000511,523,2,27,4,-,-,-,-,32,2,11,-,-,-
S01000512,798,6,80,6,-,-,-,-,58,2,-,-,-,-
S01000513,784,13,56,8,-,-,-,-,45,3,3,-,-,-
S01000514,466,3,38,9,-,-,-,-,41,8,3,3,-,-
S01000515,525,7,27,7,-,-,-,-,24,5,8,-,-,-
S01000516,612,18,20,4,-,-,-,-,25,3,-,-,3,-
S01000517,588,14,42,7,-,-,-,-,43,-,6,-,-,-
S01000518,777,36,56,4,3,-,-,-,37,2,6,-,-,-
S01000519,447,3,24,-,-,-,-,-,14,2,3,-,-,-
S01000520,911,11,55,10,14,-,8,-,69,4,3,3,-,-
S01000521,842,24,55,5,-,-,-,-,49,5,-,-,-,-
S01000522,564,9,32,7,-,-,-,-,38,4,3,-,-,-
S01000523,709,22,31,1,25,-,4,1,61,6,-,3,-,-
S01000524,600,-,44,1,-,-,-,-,42,2,3,-,-,-
S01000525,868,19,62,6,25,-,7,-,48,2,3,3,-,-
S01000526,873,2,38,19,20,1,11,1,65,7,3,3,-,-
S01000527,552,4,29,2,-,-,-,-,36,5,6,3,-,-
S01000528,649,7,67,12,103,-,4,-,53,15,13,3,-,-
S01000529,662,4,39,17,-,-,-,-,58,4,3,-,-,-
S01000530,423,4,44,6,-,-,-,-,38,-,10,-,-,-
S01000531,478,9,32,4,-,-,-,-,48,5,6,-,-,-
S01000532,695,8,52,8,30,2,13,-,52,3,11,-,-,-
S01000533,688,30,36,6,-,-,-,-,42,3,6,-,-,-
S01000534,747,4,60,2,-,-,-,-,39,3,3,-,-,-
S01000535,896,25,61,1,-,-,-,-,47,3,-,-,-,-
S01000536,484,2,28,5,-,-,-,-,33,7,-,-,-,-
S01000537,529,3,25,2,-,-,-,-,42,2,3,-,-,-
S01000538,728,4,50,-,7,-,-,-,43,4,9,-,-,-
S01000539,861,25,92,9,34,-,5,-,94,5,-,-,-,-
S01000540,723,20,35,6,-,-,-,-,64,8,-,-,-,-
S01000541,490,1,51,4,4,-,1,-,50,9,-,-,-,-
S01000542,620,3,46,-,-,-,-,-,40,6,3,-,-,-
S01000543,747,16,46,5,-,-,-,-,38,4,6,-,-,-
S01000544,689,18,15,10,-,-,-,-,44,5,3,-,-,-
S01000545,649,8,55,4,-,-,-,-,33,4,9,-,-,-
S01000546,617,10,41,2,-,-,-,-,55,3,11,-,-,-
S01000547,502,7,31,4,-,-,-,-,28,7,3,-,-,-
S01000548,943,19,43,2,-,-,-,-,36,4,-,-,-,-
S01000549,991,3,77,2,37,1,19,1,65,1,-,-,-,-
S01000550,537,-,17,-,-,-,-,-,43,3,-,-,-,-
S01000551,733,15,37,4,31,2,6,-,26,9,3,-,-,-
S01000552,528,5,19,-,-,-,-,-,34,3,-,-,-,-
S01000553,897,5,42,3,-,-,-,-,62,6,-,-,-,-
S01000554,665,27,98,-,-,-,-,-,69,1,6,-,-,-
S01000555,811,14,41,2,13,-,23,-,40,2,3,-,-,-
S01000556,801,8,66,-,-,-,-,-,67,4,6,-,-,-
S01000557,811,2,65,-,-,-,-,-,59,3,-,-,3,-
S01000558,478,3,30,1,45,1,6,-,45,6,3,-,-,-
S01000559,620,-,32,1,26,2,24,-,39,7,-,-,-,-
S01000560,952,9,81,1,-,-,1,-,78,4,-,-,-,-
S01000561,934,13,84,-,-,-,-,-,83,8,-,-,-,-
S01000562,852,20,86,6,-,-,-,-,63,2,-,-,-,-
S01000563,537,15,74,4,-,-,-,-,106,1,9,3,-,-
S01000564,776,31,101,5,-,-,-,-,132,2,10,3,-,-
S01000565,642,19,38,8,-,-,-,-,49,4,-,-,-,-
S01000566,723,34,83,-,-,-,-,-,122,4,-,3,-,-
S01000567,701,31,35,2,-,-,-,-,54,2,10,-,-,-
S01000568,500,16,21,5,-,-,-,-,33,-,-,3,-,-
S01000569,695,11,34,-,-,-,-,-,43,2,10,-,-,-
S01000570,887,-,42,8,-,-,-,-,53,6,7,-,-,-
S01000571,699,3,61,6,7,-,3,-,40,6,-,-,-,-
S01000572,765,-,31,2,-,-,-,-,35,2,6,-,-,-
S01000573,569,3,28,-,-,-,-,-,55,2,6,-,-,-
S01000574,735,9,37,1,21,-,7,-,23,12,3,-,-,-
S01000575,608,-,45,8,-,-,-,-,44,3,-,-,-,-
S01000576,565,2,72,14,-,-,-,-,42,1,-,-,-,-
S01000577,531,-,30,5,22,-,7,-,34,-,-,-,-,-
S01000578,678,1,25,2,-,-,-,-,32,3,3,-,-,-
S01000579,641,1,45,-,83,-,37,-,50,10,-,-,-,-
S01000580,510,6,161,4,-,-,-,-,32,3,-,3,-,-
S01000581,662,7,36,2,-,-,-,-,36,-,-,3,-,-
S01000582,685,1,42,-,-,-,-,-,53,2,3,-,-,-
S01000583,708,1,40,5,-,-,-,-,54,1,4,-,-,-
S01000584,686,16,79,-,-,-,-,-,59,3,6,-,-,-
S01000585,837,13,86,4,-,-,-,-,85,8,9,-,-,-
S01000586,725,2,34,5,-,-,-,-,49,3,-,-,-,-
S01000587,709,1,39,7,-,-,-,-,50,1,8,-,-,-
S01000588,539,5,58,1,13,1,9,-,46,8,-,-,-,-
S01000589,590,-,43,5,4,-,-,-,42,3,6,-,-,-
S01000590,678,-,43,5,30,-,11,1,53,9,7,3,-,-
S01000591,613,7,26,-,-,-,-,-,33,2,-,-,-,-
S01000592,837,9,56,7,11,-,4,-,42,2,3,-,-,-
S01000593,519,8,40,4,-,-,-,-,38,3,3,-,-,-
S01000594,543,-,34,-,53,-,19,2,31,2,-,-,-,-
S01000595,780,1,51,6,-,-,-,-,50,9,3,-,-,-
S01000596,872,10,54,2,-,-,-,-,51,5,4,-,-,-
S01000597,1036,-,24,5,-,-,-,-,47,-,3,3,-,-
S01000598,443,4,62,4,-,-,-,-,20,1,3,-,-,-
S01000599,761,6,58,4,-,-,-,-,44,4,6,-,-,-
S01000600,671,1,68,1,1,-,-,-,30,1,-,-,-,-
S01000601,917,9,55,3,81,1,3,-,70,9,12,3,-,-
S01000602,612,8,56,1,-,-,-,-,53,3,3,-,-,-
S01000603,781,6,34,1,-,-,-,-,39,3,3,-,-,-
S01000604,962,2,53,-,24,-,9,-,60,6,24,-,-,-
S01000605,725,9,47,1,66,-,14,-,57,7,15,-,-,-
S01000606,626,17,123,5,36,-,8,-,98,2,9,-,-,-
S01000607,732,2,44,2,1,1,-,-,48,4,3,-,-,-
S01000608,819,11,128,10,-,-,-,-,122,3,9,-,-,-
S01000609,876,10,113,6,4,-,-,-,115,4,3,-,-,-
S01000610,640,18,102,13,-,-,-,-,132,6,6,3,-,-
S01000611,566,2,51,4,-,-,-,-,61,2,6,3,-,-
S01000612,877,7,100,7,-,-,-,-,115,6,12,4,-,-
S01000613,895,8,88,4,6,-,1,-,84,17,9,-,-,-
S01000614,609,21,58,2,22,1,9,-,43,4,-,-,-,-
S01000615,670,7,80,7,-,-,-,-,75,11,3,-,-,-
S01000616,845,1,64,13,184,5,11,94,101,26,58,47,-,-
S01000617,562,5,43,20,-,-,-,-,25,3,9,-,6,-
S01000618,755,-,29,2,30,-,11,-,37,2,3,-,-,-
S01000619,615,-,72,23,-,-,-,-,58,2,44,-,-,-
S01000620,711,17,175,7,-,-,-,-,84,4,16,-,-,-
S01000621,889,10,94,6,7,-,3,-,89,4,6,-,-,-
S01000622,412,14,111,9,-,-,-,-,53,-,-,-,-,-
S01000623,731,3,45,-,-,-,-,-,52,-,5,-,-,-
S01000624,567,-,34,-,-,-,-,-,30,1,9,-,-,-
S01000625,613,-,59,8,-,-,-,-,65,1,3,-,-,-
S01000626,745,8,66,3,-,-,-,-,110,3,-,-,-,-
S01000627,869,6,56,-,-,-,-,-,67,-,6,-,-,-
S01000628,512,16,31,-,-,-,-,-,71,2,6,-,-,-
S01000629,521,-,54,10,59,-,18,-,78,-,35,-,-,-
S01000630,678,4,48,2,-,-,-,-,45,2,12,-,-,-
S01000631,581,4,52,-,-,-,-,-,47,-,3,-,-,-
S01000632,550,-,34,4,-,-,-,-,43,6,3,-,-,-
S01000633,580,1,45,4,-,-,-,-,40,1,6,-,-,-
S01000634,738,9,74,1,-,-,-,-,71,3,-,3,-,-
S01000635,635,-,42,-,-,-,-,-,30,2,-,3,-,-
S01000636,438,8,50,1,1,-,1,-,36,4,-,-,-,-
S01000637,547,3,40,5,-,-,-,-,36,2,6,-,-,-
S01000638,441,4,31,4,16,-,6,-,25,-,4,-,-,-
S01000639,550,6,40,4,-,-,-,-,49,1,-,-,-,-
S01000640,584,22,22,7,-,-,-,-,65,3,3,-,-,-
S01000641,721,9,47,3,4,-,-,-,70,2,-,-,-,-
S01000642,731,13,48,1,10,-,3,-,68,2,6,-,-,-
S01000643,586,-,17,4,-,-,-,-,41,2,10,-,-,-
S01000644,624,2,52,1,-,-,-,-,35,2,-,-,-,-
S01000645,734,9,91,15,42,-,2,-,98,1,18,-,-,-
S01000646,773,6,42,5,-,-,-,-,55,3,-,-,-,-
S01000647,817,1,54,4,-,-,-,-,59,2,-,-,-,-
S01000648,810,14,82,4,-,-,-,-,77,1,-,-,-,-
S01000649,529,-,47,5,-,-,-,-,56,4,6,-,-,-
S01000650,695,-,35,7,-,-,-,-,44,1,3,3,-,-
S01000651,700,2,80,1,10,-,13,-,59,5,6,-,3,-
S01000652,720,7,50,-,22,1,11,-,37,3,9,-,-,-
S01000653,850,5,77,5,17,-,7,1,91,4,-,-,-,-
S01000654,825,8,74,5,19,1,11,-,74,9,3,-,-,-
S01000655,689,11,92,4,-,-,-,-,116,1,5,-,-,-
S01000656,695,9,79,7,-,-,-,-,84,4,4,-,-,-
S01000657,645,5,73,-,33,-,4,-,58,5,-,-,-,-
S01000658,506,1,63,8,-,-,-,-,57,-,3,-,-,-
S01000659,944,5,111,6,-,-,-,-,56,3,-,3,-,-
S01000660,843,5,63,5,54,-,3,-,40,4,3,-,-,-
S01000661,680,3,58,8,14,-,-,-,67,3,6,3,-,-
S01000662,494,-,35,1,-,-,-,-,27,2,9,-,-,-
S01000663,620,9,50,-,21,-,-,-,50,4,-,-,-,-
S01000664,709,6,49,5,-,-,-,-,55,3,3,-,-,-
S01000665,608,4,60,3,-,-,-,-,44,1,9,3,-,-
S01000666,452,3,38,-,-,-,-,-,52,2,4,-,-,-
S01000667,887,7,61,3,16,2,3,-,73,6,3,-,-,-
S01000668,834,10,58,5,-,-,-,-,74,2,-,3,3,-
S01000669,694,18,64,7,-,-,-,-,77,10,-,-,-,-
S01000670,494,2,65,3,-,-,-,-,32,2,3,-,-,-
S01000671,526,5,53,5,20,-,13,-,53,1,-,3,-,-
S01000672,572,14,41,1,-,-,-,-,72,2,-,3,-,-
S01000673,679,1,63,7,-,-,-,-,57,11,3,-,3,-
S01000674,844,11,94,7,4,-,21,-,103,12,10,-,-,-
S01000675,669,2,47,3,-,-,-,-,32,5,-,-,-,-
S01000676,440,-,45,-,6,-,9,-,49,3,-,-,-,-
S01000677,706,4,104,4,-,-,-,-,96,4,3,-,-,-
S01000678,897,12,79,4,-,-,-,-,74,5,6,-,-,-
S01000679,606,22,110,12,-,-,-,-,99,6,6,-,-,-
S01000680,678,17,77,5,-,-,-,-,76,2,-,-,-,-
S01000681,670,17,91,8,11,-,1,-,143,1,6,-,-,-
S01000682,463,19,90,7,48,-,10,1,110,10,10,4,8,-
S01000683,469,2,53,-,-,-,-,-,67,4,9,-,-,-
S01000684,585,7,86,2,2,-,-,-,86,2,3,-,-,-
S01000685,717,2,84,1,31,1,4,-,66,6,9,3,-,-
S01000686,626,8,119,3,-,-,-,-,61,5,6,-,-,-
S01000687,742,5,41,1,-,-,-,-,65,4,-,-,-,-
S01000688,682,6,57,1,40,-,4,-,69,1,6,-,-,-
S01000689,509,7,82,9,-,-,-,-,59,1,-,-,-,-
S01000690,742,9,35,-,-,-,-,-,71,2,-,-,-,-
S01000691,716,9,42,1,-,-,-,-,53,1,3,-,-,-
S01000692,607,26,108,4,6,-,1,-,151,1,-,-,-,-
S01000693,814,17,94,1,-,-,-,-,95,3,6,-,-,-
S01000694,655,8,59,2,-,-,-,-,39,3,-,3,-,-
S01000695,681,10,54,-,-,-,-,-,56,2,-,-,-,-
S01000696,648,11,64,4,-,-,-,-,68,9,3,-,3,-
S01000697,436,-,51,3,-,-,-,-,38,3,-,-,-,-
S01000698,583,3,54,2,-,-,-,-,46,1,3,-,3,-
S01000699,558,10,55,-,25,-,10,-,52,2,4,-,3,-
S01000700,828,-,43,2,-,-,-,-,56,1,-,-,-,-
S01000701,810,6,39,5,57,-,2,-,56,6,6,3,-,-
S01000702,501,-,17,4,-,-,-,-,35,1,6,-,-,-
S01000703,687,4,47,-,-,-,-,-,66,4,-,3,-,-
S01000704,684,11,71,9,39,-,61,1,76,14,10,4,3,-
S01000705,975,6,83,8,62,-,7,1,75,3,11,3,-,-
S01000706,732,9,53,7,13,-,-,-,62,7,12,3,-,-
S01000707,478,6,43,9,-,-,-,-,47,2,-,-,-,-
S01000708,472,25,37,20,1,-,3,1,42,4,7,3,-,-
S01000709,792,36,36,-,6,-,16,1,25,3,3,-,-,-
S01000710,939,7,117,9,6,-,2,-,128,3,6,3,-,-
S01000711,562,9,38,11,-,-,-,-,25,2,9,-,-,-
S01000712,510,4,58,1,16,-,3,-,57,6,-,-,-,-
S01000713,789,-,39,4,-,-,-,-,45,3,6,-,-,-
S01000714,767,12,37,13,-,-,-,-,55,9,-,3,-,-
S01000715,566,8,68,8,13,2,5,-,56,10,3,-,-,-
S01000716,459,38,76,2,30,-,9,-,71,4,18,3,6,-
S01000717,873,26,66,9,-,-,-,-,95,1,10,3,-,-
S01000718,891,13,47,1,-,-,-,-,61,1,3,-,-,-
S01000719,594,8,29,6,12,-,5,-,52,9,14,-,-,-
S01000720,772,25,37,12,6,-,2,-,41,6,31,-,-,-
S01000721,607,9,25,17,-,-,-,-,59,2,9,-,-,-
S01000722,742,45,21,10,-,-,-,-,42,9,6,-,-,-
S01000723,492,-,28,6,-,-,-,-,22,1,10,-,-,-
S01000724,768,20,50,2,14,4,2,-,35,1,12,-,-,-
S01000725,604,15,46,25,3,-,11,1,54,4,19,-,-,-
S01000726,687,31,19,13,-,-,-,-,40,1,10,-,3,-
S01000727,611,6,63,-,22,-,3,1,58,3,-,3,-,-
S01000728,687,9,62,7,-,-,-,-,39,3,6,3,-,-
S01000729,494,5,38,2,-,-,-,-,43,2,12,-,-,-
S01000730,430,12,80,3,-,-,-,-,80,4,-,-,-,-
S01000731,465,20,50,12,-,-,-,-,55,-,16,-,-,-
S01000732,435,18,71,9,-,-,-,-,82,2,3,3,3,-
S01000733,674,14,86,22,-,-,-,-,68,5,-,-,-,-
S01000734,751,24,82,15,58,-,2,3,51,9,-,3,-,-
S01000735,449,5,45,5,-,-,-,-,24,1,-,-,-,-
S01000736,708,7,45,10,-,-,-,-,46,2,6,-,-,-
S01000737,527,11,33,12,-,-,-,-,53,2,9,-,-,-
S01000738,544,13,17,2,-,-,-,-,31,4,3,-,-,-
S01000739,694,26,34,5,-,-,-,-,41,6,3,-,3,-
S01000740,753,18,49,12,7,1,-,3,37,13,3,-,-,-
S01000741,890,12,56,5,-,-,-,-,41,8,9,-,-,-
S01000742,481,9,19,15,8,-,7,1,35,2,8,-,-,-
S01000743,591,2,44,17,62,-,7,-,44,10,3,-,-,-
S01000744,622,16,85,1,-,-,-,-,74,1,13,-,-,-
S01000745,660,7,55,6,-,-,-,-,72,1,-,-,-,-
S01000746,663,3,70,1,-,-,-,-,65,3,-,-,-,-
S01000747,507,-,42,2,14,-,-,-,37,3,14,-,-,-
S01000748,506,11,64,13,15,-,1,-,55,5,-,-,-,-
S01000749,502,11,43,3,-,-,-,-,48,-,3,-,-,-
S01000750,602,6,71,15,-,-,-,-,47,1,3,-,-,-
S01000751,663,3,38,8,-,-,-,-,40,4,12,-,-,-
S01000752,880,22,89,1,-,-,-,-,88,5,6,-,-,-
S01000753,610,3,32,-,-,-,-,-,31,4,-,-,-,-
S01000754,545,8,62,3,19,1,4,-,43,1,3,-,-,-
S01000755,712,31,42,7,5,-,2,-,47,2,7,3,-,-
S01000756,887,6,86,15,76,2,30,1,70,3,6,3,-,-
S01000757,600,1,57,6,21,1,6,-,71,4,3,-,-,-
S01000758,901,4,59,4,16,-,5,-,59,7,8,-,-,-
S01000759,889,25,77,6,-,-,-,-,84,8,6,3,-,-
S01000760,506,5,37,11,-,-,-,-,25,4,11,3,-,-
S01000761,557,3,37,4,-,-,-,-,63,10,10,-,-,-
S01000762,621,2,39,2,-,-,-,-,42,2,9,3,-,-
S01000763,765,22,50,12,2,-,-,-,86,12,8,3,-,-
S01000764,627,6,55,10,7,-,-,-,60,5,10,-,-,-
S01000765,512,1,97,50,-,-,-,-,53,22,65,6,-,-
S01000766,653,3,65,7,11,1,18,-,60,7,7,3,-,-
S01000767,535,7,52,2,-,-,-,-,51,1,6,-,-,-
S01000768,705,15,88,13,-,-,-,-,81,1,12,-,-,-
S01000769,805,14,114,19,1,-,-,-,119,3,12,-,-,-
S01000770,549,7,37,2,-,-,-,-,29,-,3,3,-,-
S01000771,814,7,72,20,42,-,11,1,89,8,20,3,-,-
S01000772,593,1,43,6,1,-,-,1,31,7,9,-,-,4
S01000773,840,-,72,8,31,-,1,-,43,5,6,-,-,-
S01000774,440,18,78,46,-,-,-,-,97,2,58,3,3,-
S01000775,549,2,40,16,67,-,23,1,27,11,15,3,-,-
S01000776,571,2,32,15,-,-,-,-,30,3,5,-,-,-
S01000777,410,23,57,61,-,-,-,-,33,-,61,-,-,-
S01000778,454,5,33,4,11,-,5,-,47,15,20,3,-,-
S01000779,664,12,73,41,-,-,-,-,107,2,34,-,7,-
